SampleID,Soil,ExpType
38.1,Divisa,Greenhouse
40.1,Divisa,Greenhouse
42.1,Divisa,Greenhouse
45.1,Divisa,Greenhouse
50.1,Ejido,Greenhouse
53,Divisa,Field
53.1,Ejido,Greenhouse
54.1,Ejido,Greenhouse
55,Divisa,Field
56.1,Ejido,Greenhouse
58,Divisa,Field
60,Divisa,Field
60.1,Ejido,Greenhouse
61,Divisa,Field
62.1,Asientos,Greenhouse
63,Divisa,Field
64.1,Asientos,Greenhouse
66.1,Asientos,Greenhouse
68,Asientos,Field
68.1,Asientos,Greenhouse
69,Asientos,Field
70,Asientos,Field
70.1,Asientos,Greenhouse
72,Asientos,Field
73,Asientos,Field
86,Ejido,Field
90,Ejido,Field
92,Ejido,Field
93,Ejido,Field
96,Ejido,Field
97,Asientos,Field
102,Asientos,Field
103,Asientos,Field
105,Ejido,Field
106,Ejido,Field
108,Ejido,Field
109,Ejido,Field
110,Ejido,Field
114,Ejido,Field
116,Divisa,Field
118,Divisa,Field
119,Divisa,Field
121,Divisa,Field
126,Divisa,Field